Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777588324,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777588325,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777588326,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777588327,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777588328,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777588329,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777588330,70,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777588331,80,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777588332,90,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777588333,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777588334,100,,Aggregated,0.000000,0.000000,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,2,0,5010.158600001887,6387.426500001311,5010.158600001887,7764.694400000735,56.0
1777588335,100,,Aggregated,0.000000,0.000000,7800,7800,8300,8300,8300,8300,8300,8300,8300,8300,8300,4,0,5800.0,6709.334224999111,5010.158600001887,8285.02689999732,56.0
1777588336,100,,Aggregated,0.000000,0.000000,7800,7800,8300,8300,10000,10000,10000,10000,10000,10000,10000,6,0,6300.0,7200.962999998107,5010.158600001887,10079.544199994416,56.0
1777588337,100,,Aggregated,0.300000,0.000000,8300,10000,11000,11000,13000,13000,13000,13000,13000,13000,13000,9,0,8300.0,8642.836788887507,5010.158600001887,13123.130500003754,56.0
1777588338,100,,Aggregated,0.500000,0.000000,10000,11000,11000,13000,14000,14000,14000,14000,14000,14000,14000,10,0,8300.0,9144.58609999856,5010.158600001887,13660.329899998032,56.0
1777588339,100,,Aggregated,0.600000,0.000000,11000,11000,12000,12000,13000,14000,14000,14000,14000,14000,14000,12,0,10000.0,9545.817974999105,5010.158600001887,13660.329899998032,56.0
1777588340,100,,Aggregated,0.900000,0.000000,11000,12000,13000,13000,14000,16000,16000,16000,16000,16000,16000,15,0,11000.0,10367.140399999334,5010.158600001887,15752.588899995317,56.0
1777588341,100,,Aggregated,1.100000,0.000000,11000,12000,13000,13000,16000,17000,17000,17000,17000,17000,17000,16,0,11000.0,10752.647749999142,5010.158600001887,16535.257999996247,56.0
1777588342,100,,Aggregated,1.300000,0.000000,12000,13000,14000,16000,18000,18000,18000,18000,18000,18000,18000,18,0,11000.0,11548.60994999884,5010.158600001887,18039.551399997436,56.0
1777588343,100,,Aggregated,1.500000,0.000000,12000,14000,16000,17000,18000,18000,18000,18000,18000,18000,18000,20,0,12000.0,12011.594309999055,5010.158600001887,18075.174400000833,56.0
1777588344,100,,Aggregated,1.600000,0.000000,13000,16000,16000,17000,18000,18000,19000,19000,19000,19000,19000,23,0,13000.0,12641.438617390637,5010.158600001887,18601.958899998863,56.0
1777588345,100,,Aggregated,1.900000,0.000000,13000,16000,17000,18000,18000,19000,20000,20000,20000,20000,20000,25,0,13000.0,13090.108143999241,5010.158600001887,19893.134999998438,56.0
1777588346,100,,Aggregated,2.000000,0.000000,14000,16000,18000,18000,19000,20000,20000,20000,20000,20000,20000,27,0,14000.0,13530.490237036483,5010.158600001887,20421.07450000185,56.0
1777588347,100,,Aggregated,2.000000,0.000000,14000,17000,18000,18000,20000,20000,21000,21000,21000,21000,21000,29,0,14000.0,13947.012941378614,5010.158600001887,21202.945199998794,56.0
1777588348,100,,Aggregated,2.100000,0.000000,16000,17000,18000,18000,20000,21000,21000,21000,21000,21000,21000,30,0,14000.0,14197.732796666,5010.158600001887,21468.608600000152,56.0
1777588349,100,,Aggregated,2.200000,0.000000,20000,21000,22000,23000,24000,25000,25000,25000,25000,25000,25000,61,0,20000.0,18116.54888032759,5010.158600001887,24782.77760000492,60.49180327868852
1777588350,100,,Aggregated,2.000000,0.000000,20000,21000,22000,23000,24000,25000,25000,25000,25000,25000,25000,64,0,20000.0,18010.56492968712,5010.158600001887,24782.77760000492,60.28125
1777588351,100,,Aggregated,2.000000,0.000000,20000,21000,22000,22000,24000,25000,25000,25000,25000,25000,25000,66,0,19000.0,17999.793396969337,5010.158600001887,24782.77760000492,60.15151515151515
1777588352,100,,Aggregated,4.900000,0.000000,20000,21000,22000,22000,24000,25000,25000,25000,25000,25000,25000,68,0,19000.0,18052.742274999702,5010.158600001887,24782.77760000492,60.029411764705884
1777588353,100,,Aggregated,4.900000,0.000000,20000,21000,22000,22000,24000,25000,25000,25000,25000,25000,25000,70,0,20000.0,18125.026607142663,5010.158600001887,24782.77760000492,59.9
1777588354,100,,Aggregated,5.000000,0.000000,20000,21000,22000,22000,24000,25000,25000,25000,25000,25000,25000,72,0,20000.0,18062.682858333064,5010.158600001887,24782.77760000492,59.791666666666664
1777588355,100,,Aggregated,5.000000,0.000000,20000,21000,22000,22000,24000,25000,25000,25000,25000,25000,25000,73,0,20000.0,18125.564106849095,5010.158600001887,24782.77760000492,59.73972602739726
1777588356,100,,Aggregated,5.100000,0.000000,20000,21000,22000,22000,24000,25000,25000,25000,25000,25000,25000,74,0,20000.0,18029.042574324143,5010.158600001887,24782.77760000492,59.689189189189186
1777588357,100,,Aggregated,4.900000,0.000000,20000,21000,22000,23000,24000,25000,27000,27000,27000,27000,27000,77,0,20000.0,18165.27312727259,5010.158600001887,26968.970800000534,59.54545454545455
1777588358,100,,Aggregated,4.700000,0.000000,20000,21000,22000,23000,24000,25000,27000,27000,27000,27000,27000,78,0,20000.0,18284.68248717931,5010.158600001887,27479.203199996846,59.5
1777588359,100,,Aggregated,4.600000,0.000000,20000,21000,22000,23000,24000,25000,27000,27000,27000,27000,27000,79,0,20000.0,18354.317394936512,5010.158600001887,27479.203199996846,59.45569620253165
1777588360,100,,Aggregated,4.800000,0.000000,20000,21000,22000,23000,24000,25000,27000,27000,27000,27000,27000,81,0,20000.0,18460.161055555356,5010.158600001887,27479.203199996846,59.370370370370374
1777588361,100,,Aggregated,4.700000,0.000000,20000,22000,22000,23000,24000,25000,27000,27000,27000,27000,27000,83,0,20000.0,18555.190515662463,5010.158600001887,27479.203199996846,59.28915662650602
1777588362,100,,Aggregated,1.700000,0.000000,20000,22000,23000,23000,25000,27000,32000,32000,32000,32000,32000,86,0,20000.0,19002.135660464988,5010.158600001887,32136.302400002023,59.174418604651166
1777588363,100,,Aggregated,1.700000,0.000000,20000,22000,23000,23000,25000,27000,32000,32000,32000,32000,32000,87,0,20000.0,19150.576985057363,5010.158600001887,32136.302400002023,59.13793103448276
1777588364,100,,Aggregated,1.800000,0.000000,21000,22000,23000,24000,27000,32000,32000,32000,32000,32000,32000,90,0,20000.0,19450.858268888744,5010.158600001887,32136.302400002023,59.03333333333333
1777588365,100,,Aggregated,1.700000,0.000000,21000,22000,23000,24000,27000,32000,32000,35000,35000,35000,35000,91,0,21000.0,19618.53000659327,5010.158600001887,34708.98640000087,59.0
1777588366,100,,Aggregated,1.700000,0.000000,21000,22000,23000,24000,27000,32000,32000,35000,35000,35000,35000,91,0,21000.0,19618.53000659327,5010.158600001887,34708.98640000087,59.0
1777588367,100,,Aggregated,1.800000,0.000000,22000,24000,27000,31000,34000,35000,36000,37000,37000,37000,37000,123,0,22000.0,22539.460112195105,5010.158600001887,37200.83419999719,60.96747967479675
1777588368,100,,Aggregated,1.800000,0.000000,22000,24000,27000,31000,34000,35000,36000,37000,37000,37000,37000,125,0,22000.0,22474.94436879997,5010.158600001887,37200.83419999719,60.888
1777588369,100,,Aggregated,1.700000,0.000000,22000,24000,27000,30000,34000,35000,36000,37000,37000,37000,37000,128,0,22000.0,22404.851484374994,5010.158600001887,37200.83419999719,60.765625
1777588370,100,,Aggregated,4.600000,0.000000,22000,24000,27000,30000,34000,35000,36000,37000,37000,37000,37000,132,0,21000.0,22343.54729621212,5010.158600001887,37200.83419999719,60.621212121212125
1777588371,100,,Aggregated,4.700000,0.000000,22000,24000,27000,30000,34000,35000,36000,37000,37000,37000,37000,133,0,22000.0,22340.945909774462,5010.158600001887,37200.83419999719,60.58646616541353
1777588372,100,,Aggregated,4.900000,0.000000,22000,24000,27000,30000,34000,35000,36000,37000,37000,37000,37000,135,0,22000.0,22326.777275555534,5010.158600001887,37200.83419999719,60.51111111111111
1777588373,100,,Aggregated,5.100000,0.000000,22000,24000,27000,28000,34000,35000,36000,37000,37000,37000,37000,136,0,21000.0,22314.55952720587,5010.158600001887,37200.83419999719,60.47794117647059
1777588374,100,,Aggregated,4.900000,0.000000,22000,24000,26000,28000,34000,35000,36000,37000,37000,37000,37000,137,0,22000.0,22330.46344233579,5010.158600001887,37200.83419999719,60.44525547445255
1777588375,100,,Aggregated,4.900000,0.000000,22000,24000,26000,28000,34000,35000,36000,37000,37000,37000,37000,139,0,22000.0,22281.866821582797,5010.158600001887,37200.83419999719,60.381294964028775
1777588376,100,,Aggregated,4.900000,0.000000,22000,24000,26000,28000,34000,35000,36000,37000,37000,37000,37000,140,0,22000.0,22311.28534428581,5010.158600001887,37200.83419999719,60.35
1777588377,100,,Aggregated,4.800000,0.000000,22000,24000,26000,28000,34000,35000,36000,37000,37000,37000,37000,143,0,22000.0,22222.40167202804,5010.158600001887,37200.83419999719,60.25874125874126
1777588378,100,,Aggregated,4.900000,0.000000,22000,24000,26000,28000,34000,35000,36000,37000,37000,37000,37000,145,0,22000.0,22206.200097931105,5010.158600001887,37200.83419999719,60.2
